                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.55487,                0.50782,                 1.0031,                0.84515,                0.79293,                0.84327,                0.68449,                0.72242,                0.78812,                 1.1011,             0.00055006,             0.00055006,             0.00055006
                    104,                0.54031,                0.49427,                 1.0047,                0.82209,                0.76686,                0.80798,                0.66568,                0.71356,                0.91595,                 1.0791,             0.00054456,             0.00054456,             0.00054456
                    105,                0.57108,                0.51247,                 1.0106,                 0.8204,                 0.7916,                0.81075,                0.65924,                0.73488,                 0.8517,                 1.1066,             0.00053906,             0.00053906,             0.00053906
                    106,                0.57422,                0.51504,                 1.0193,                0.83685,                 0.7829,                0.82606,                  0.669,                0.72314,                0.75174,                 1.0947,             0.00053356,             0.00053356,             0.00053356
                    107,                0.56278,                0.50522,                 1.0052,                0.84691,                 0.7772,                0.81475,                0.66261,                 0.7313,                0.83282,                 1.0856,             0.00052806,             0.00052806,             0.00052806
                    108,                 0.5594,                0.49502,                  1.008,                0.82221,                0.80467,                0.84277,                0.69177,                0.69407,                0.75828,                 1.0715,             0.00052256,             0.00052256,             0.00052256
                    109,                  0.568,                0.50056,                 1.0145,                0.87214,                0.77233,                0.84875,                0.69011,                0.74303,                0.80874,                  1.117,             0.00051706,             0.00051706,             0.00051706
                    110,                0.54798,                0.48464,                 1.0104,                0.82077,                0.80418,                0.84187,                0.68152,                0.72892,                0.79107,                  1.109,             0.00051156,             0.00051156,             0.00051156
                    111,                 0.5607,                0.51085,                 1.0118,                 0.8052,                0.82594,                0.84755,                0.67032,                 0.7341,                0.74803,                  1.101,             0.00050606,             0.00050606,             0.00050606
                    112,                0.55474,                0.49289,                 1.0032,                0.87071,                0.76006,                0.84322,                0.67911,                0.72067,                0.75447,                 1.1079,             0.00050056,             0.00050056,             0.00050056
                    113,                0.56759,                0.50634,                  1.009,                0.83318,                0.78583,                0.83557,                 0.6735,                0.70937,                0.76032,                 1.0854,             0.00049506,             0.00049506,             0.00049506
                    114,                0.56317,                0.49318,                 1.0066,                0.85009,                0.79473,                0.84924,                0.68459,                0.72704,                0.72173,                 1.0856,             0.00048956,             0.00048956,             0.00048956
                    115,                 0.5667,                0.50885,                 1.0064,                0.83696,                0.81064,                0.83552,                0.68205,                0.72112,                0.77328,                 1.0972,             0.00048406,             0.00048406,             0.00048406
                    116,                0.53325,                0.47698,                 1.0008,                0.88949,                0.73839,                 0.8446,                 0.6798,                0.74584,                0.77279,                 1.1153,             0.00047856,             0.00047856,             0.00047856
                    117,                0.53616,                0.47339,                0.99726,                0.84527,                 0.7937,                0.84874,                0.68527,                0.70033,                0.74885,                 1.0677,             0.00047306,             0.00047306,             0.00047306
                    118,                 0.5395,                0.48087,                      1,                0.82721,                0.78047,                0.82018,                0.66981,                 0.7366,                0.82952,                 1.0988,             0.00046756,             0.00046756,             0.00046756
                    119,                0.55343,                0.49064,                  1.006,                0.81522,                0.79451,                0.82326,                0.66872,                0.74807,                0.80932,                 1.1089,             0.00046206,             0.00046206,             0.00046206
                    120,                 0.5438,                 0.4591,                 0.9957,                0.82894,                0.79481,                0.84766,                0.67693,                0.74462,                0.76823,                 1.1144,             0.00045657,             0.00045657,             0.00045657
                    121,                0.55011,                0.46588,                 1.0103,                0.84076,                 0.7622,                0.83619,                0.66934,                0.75361,                0.81178,                 1.1046,             0.00045107,             0.00045107,             0.00045107
                    122,                0.52064,                0.45968,                0.98713,                0.85383,                0.76383,                0.80252,                0.65387,                0.74586,                0.85246,                 1.1138,             0.00044557,             0.00044557,             0.00044557
                    123,                0.53122,                0.47023,                0.99216,                0.81116,                0.79687,                0.81876,                0.66764,                0.73734,                0.80139,                 1.0836,             0.00044007,             0.00044007,             0.00044007
                    124,                 0.5405,                 0.4774,                0.99475,                0.82761,                0.82091,                0.85222,                0.69619,                0.71619,                0.71852,                 1.0735,             0.00043457,             0.00043457,             0.00043457
                    125,                0.52466,                0.46147,                  0.995,                0.83272,                0.79588,                0.83841,                0.68034,                0.71288,                0.77173,                 1.0843,             0.00042907,             0.00042907,             0.00042907
